{timestamp=2024-01-23T15:11:16.265Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=51m26s787ms)., context=default}
{timestamp=2024-01-23T16:12:36.167Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h1m19s901ms)., context=default}
{timestamp=2024-01-23T17:14:26.039Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h1m49s873ms)., context=default}
{timestamp=2024-01-23T18:50:35.204Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h36m9s165ms)., context=default}
{timestamp=2024-01-23T20:12:52.595Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h22m17s390ms)., context=default}
{timestamp=2024-01-23T21:56:17.084Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h43m24s490ms)., context=default}
{timestamp=2024-01-23T22:35:16.814Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=38m59s731ms)., context=default}
{timestamp=2024-01-23T22:44:32.086Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=9m15s271ms)., context=default}
{timestamp=2024-01-23T23:53:01.812Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h8m29s718ms)., context=default}
{timestamp=2024-01-24T00:10:18.854Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=17m17s50ms)., context=default}
{timestamp=2024-01-24T00:15:14.869Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=4m56s15ms)., context=default}
{timestamp=2024-01-24T01:16:06.639Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h51s770ms)., context=default}
{timestamp=2024-01-24T01:26:55.265Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=10m48s627ms)., context=default}
{timestamp=2024-01-24T01:28:25.509Z, level=WARN, thread=HikariPool-1 housekeeper, logger=com.zaxxer.hikari.pool.HikariPool, message=HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m30s205ms)., context=default}
